phage,Phage Name,bacterium,Bacterium name,key_gene_output,wgs_output,phage_key_gene_num,host_key_gene_num
MG711462,Faecalibacterium phage FP_Epona,NC_003911,Ruegeria pomeroyi DSS-3,0.9999999,0.5919082,4,628
MG711464,Faecalibacterium phage FP_Lugh,NC_017731,Providencia stuartii MRSN 2154,0.000183656,0.006104316,5,712
MG711461,Faecalibacterium phage FP_Lagaffe,NC_021020,Faecalibacterium prausnitzii SL3/3,0.4235304,0.5175436,8,483
MG711461,Faecalibacterium phage FP_Lagaffe,NC_021042,Faecalibacterium prausnitzii L2-6,0.30358207,0.51896995,8,518
MG711464,Faecalibacterium phage FP_Lugh,NZ_CP029736,Providencia rettgeri strain AR_0082,0.001797631,0.003533842,5,752
MG711464,Faecalibacterium phage FP_Lugh,NZ_DS483503,Faecalibacterium prausnitzii M21/2 Scfld_02_24,0.057013433,0.54063517,5,179
MG711461,Faecalibacterium phage FP_Lagaffe,NZ_GG697149,Faecalibacterium duncaniae strain A2-165 Scfld0,0.3010997,0.5206954,8,120
MG711461,Faecalibacterium phage FP_Lagaffe,GL538315,Faecalibacterium cf. prausnitzii KLE1255,0.10173354,0.53666574,8,52
MG711461,Faecalibacterium phage FP_Lagaffe,NC_003911,Ruegeria pomeroyi DSS-3,0.99999976,0.5643215,8,628
MG711461,Faecalibacterium phage FP_Lagaffe,NC_017731,Providencia stuartii MRSN 2154,8.24E-05,0.000399558,8,712
MG711464,Faecalibacterium phage FP_Lugh,NC_021020,Faecalibacterium prausnitzii SL3/3,0.07972394,0.53645307,5,483
MG711464,Faecalibacterium phage FP_Lugh,NC_021042,Faecalibacterium prausnitzii L2-6,0.05578621,0.5375164,5,518
NC_052979,Providencia phage Kokobel1,NZ_CP029736,Providencia rettgeri strain AR_0082,0.000512405,0.018808972,4,752
NC_052979,Providencia phage Kokobel1,NZ_DS483503,Faecalibacterium prausnitzii M21/2 Scfld_02_24,0.035242055,0.5192603,4,179
MG711464,Faecalibacterium phage FP_Lugh,NZ_GG697149,Faecalibacterium duncaniae strain A2-165 Scfld0,0.0928451,0.53875935,5,120
MG711460,Faecalibacterium phage FP_Mushu,GL538315,Faecalibacterium cf. prausnitzii KLE1255,0.07480376,0.53434676,2,52
NC_052969,Ruegeria phage vB_RpoS-V16,NC_003911,Ruegeria pomeroyi DSS-3,0.9999994,0.61750245,5,628
NC_052979,Providencia phage Kokobel1,NC_017731,Providencia stuartii MRSN 2154,6.39E-05,0.018644324,4,712
NC_052979,Providencia phage Kokobel1,NC_021020,Faecalibacterium prausnitzii SL3/3,0.015337512,0.52454144,4,483
NC_052979,Providencia phage Kokobel1,NC_021042,Faecalibacterium prausnitzii L2-6,0.019424925,0.5188668,4,518
MG711461,Faecalibacterium phage FP_Lagaffe,NZ_CP029736,Providencia rettgeri strain AR_0082,0.000488412,0.00038199,8,752
MG711461,Faecalibacterium phage FP_Lagaffe,NZ_DS483503,Faecalibacterium prausnitzii M21/2 Scfld_02_24,0.03350358,0.52297163,8,179
NC_052979,Providencia phage Kokobel1,NZ_GG697149,Faecalibacterium duncaniae strain A2-165 Scfld0,0.020697987,0.52021646,4,120
NC_052979,Providencia phage Kokobel1,GL538315,Faecalibacterium cf. prausnitzii KLE1255,0.055113394,0.5228307,4,52
MG711464,Faecalibacterium phage FP_Lugh,NC_003911,Ruegeria pomeroyi DSS-3,0.9998122,0.5925603,5,628
NC_052969,Ruegeria phage vB_RpoS-V16,NC_017731,Providencia stuartii MRSN 2154,5.56E-05,0.0005312,5,712
NC_052969,Ruegeria phage vB_RpoS-V16,NC_021020,Faecalibacterium prausnitzii SL3/3,0.001926288,0.51154625,5,483
NC_052969,Ruegeria phage vB_RpoS-V16,NC_021042,Faecalibacterium prausnitzii L2-6,0.001896673,0.5172166,5,518
NC_052969,Ruegeria phage vB_RpoS-V16,NZ_CP029736,Providencia rettgeri strain AR_0082,0.000403411,0.000199764,5,752
NC_052969,Ruegeria phage vB_RpoS-V16,NZ_DS483503,Faecalibacterium prausnitzii M21/2 Scfld_02_24,0.008134513,0.5241272,5,179
NC_052969,Ruegeria phage vB_RpoS-V16,NZ_GG697149,Faecalibacterium duncaniae strain A2-165 Scfld0,0.002451508,0.5218166,5,120
MG711462,Faecalibacterium phage FP_Epona,GL538315,Faecalibacterium cf. prausnitzii KLE1255,0.024770062,0.53974336,4,52
NC_053009,Providencia phage vB_PreS-PibeRecoleta,NC_003911,Ruegeria pomeroyi DSS-3,0.99933916,0.5098328,3,628
MG711462,Faecalibacterium phage FP_Epona,NC_017731,Providencia stuartii MRSN 2154,6.73E-06,0.000119558,4,712
MG711462,Faecalibacterium phage FP_Epona,NC_021020,Faecalibacterium prausnitzii SL3/3,0.000559363,0.50644076,4,483
MG711462,Faecalibacterium phage FP_Epona,NC_021042,Faecalibacterium prausnitzii L2-6,0.000552587,0.51078635,4,518
MG711462,Faecalibacterium phage FP_Epona,NZ_CP029736,Providencia rettgeri strain AR_0082,4.88E-05,7.96E-05,4,752
MG711462,Faecalibacterium phage FP_Epona,NZ_DS483503,Faecalibacterium prausnitzii M21/2 Scfld_02_24,0.003244947,0.51776946,4,179
MG711462,Faecalibacterium phage FP_Epona,NZ_GG697149,Faecalibacterium duncaniae strain A2-165 Scfld0,0.001286223,0.5141474,4,120
NC_052969,Ruegeria phage vB_RpoS-V16,GL538315,Faecalibacterium cf. prausnitzii KLE1255,0.021238856,0.55000794,5,52
MG711466,Faecalibacterium phage FP_Toutatis,NC_003911,Ruegeria pomeroyi DSS-3,0.99717903,0.5839918,3,628
MG711467,Faecalibacterium phage FP_Taranis,NC_017731,Providencia stuartii MRSN 2154,4.03E-06,0.000771178,7,712
MG711467,Faecalibacterium phage FP_Taranis,NC_021020,Faecalibacterium prausnitzii SL3/3,0.000333928,0.5398372,7,483
MG711467,Faecalibacterium phage FP_Taranis,NC_021042,Faecalibacterium prausnitzii L2-6,0.000346253,0.54081815,7,518
MG711467,Faecalibacterium phage FP_Taranis,NZ_CP029736,Providencia rettgeri strain AR_0082,2.65E-05,0.000432413,7,752
MG711460,Faecalibacterium phage FP_Mushu,NZ_DS483503,Faecalibacterium prausnitzii M21/2 Scfld_02_24,0.001632791,0.51815987,2,179
MG711460,Faecalibacterium phage FP_Mushu,NZ_GG697149,Faecalibacterium duncaniae strain A2-165 Scfld0,0.000577848,0.5149853,2,120
MG711467,Faecalibacterium phage FP_Taranis,GL538315,Faecalibacterium cf. prausnitzii KLE1255,0.001779602,0.56166184,7,52
NC_052979,Providencia phage Kokobel1,NC_003911,Ruegeria pomeroyi DSS-3,0.004057871,0.5297441,4,628
MG711460,Faecalibacterium phage FP_Mushu,NC_017731,Providencia stuartii MRSN 2154,2.28E-06,0.000445531,2,712
MG711460,Faecalibacterium phage FP_Mushu,NC_021020,Faecalibacterium prausnitzii SL3/3,0.000245526,0.50846696,2,483
MG711460,Faecalibacterium phage FP_Mushu,NC_021042,Faecalibacterium prausnitzii L2-6,0.000227826,0.5124053,2,518
MG711460,Faecalibacterium phage FP_Mushu,NZ_CP029736,Providencia rettgeri strain AR_0082,1.47E-05,0.000284312,2,752
MG711467,Faecalibacterium phage FP_Taranis,NZ_DS483503,Faecalibacterium prausnitzii M21/2 Scfld_02_24,0.000724425,0.5453973,7,179
MG711467,Faecalibacterium phage FP_Taranis,NZ_GG697149,Faecalibacterium duncaniae strain A2-165 Scfld0,0.000378625,0.5429224,7,120
